ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000000003,36.447128,24.251253,19.330479,27.668607,19.998231,14.680673,27.548101,16.580183,44.587799,44.943915,41.084665,22.177874,23.640053,43.194162,30.133433,26.391215,ENSG00000000003
ENSG00000000005,0.044081,0.067338,0.0,0.145466,0.185188,0.31118,0.0,0.0,0.473831,0.18122,0.635343,0.049313,0.006587,0.163946,0.086484,0.159348,ENSG00000000005
ENSG00000000419,34.373239,20.765661,18.734947,22.366394,19.228431,11.020365,25.394607,17.671327,32.9031,38.157569,29.371442,17.982009,19.390473,26.140231,27.771254,22.094928,ENSG00000000419
ENSG00000000457,4.379337,4.227521,2.551825,3.603764,2.948976,2.405183,3.613642,2.573935,3.483817,3.60983,3.287066,3.602514,3.308546,3.557031,3.135879,3.467244,ENSG00000000457
ENSG00000000460,3.957119,3.520794,2.037805,3.487035,2.177235,0.999693,3.481555,1.747568,3.74158,3.56065,2.80486,2.861844,2.011409,3.77434,2.68787,3.04757,ENSG00000000460
ENSG00000000938,0.244174,0.266976,0.248188,0.141398,0.467688,0.296493,0.079941,0.149822,0.20421,0.260205,0.460497,0.111897,0.210155,0.608868,0.224219,0.292505,ENSG00000000938
ENSG00000000971,1.73981,1.631157,1.505638,0.184312,8.457812,0.824817,0.086144,0.104424,0.862773,1.511365,3.010299,0.101931,1.102334,2.969704,1.754104,1.872642,ENSG00000000971
ENSG00000001036,10.093235,7.413745,6.844418,8.241343,8.19375,7.177653,9.689761,9.271467,11.968811,10.173631,15.12321,7.156117,7.262581,16.886837,8.66245,7.546138,ENSG00000001036
ENSG00000001084,2.632164,2.350074,2.091245,1.97061,2.780556,1.828027,2.176415,1.85036,2.753711,2.518131,3.541232,1.798342,2.258713,3.144823,2.702146,2.374079,ENSG00000001084
ENSG00000001167,24.84566,27.283269,26.22679,26.843769,29.272971,12.390913,27.550427,11.377583,20.556671,22.919239,19.324936,26.744197,27.071192,19.336561,28.245574,27.116961,ENSG00000001167
ENSG00000001460,0.433926,0.370707,0.733702,0.397208,0.517359,2.025777,0.307355,0.957189,0.621149,0.373008,0.611915,0.468003,1.091322,0.921629,0.249744,0.347897,ENSG00000001460
ENSG00000001461,1.3631,1.368581,3.363718,1.954944,2.076517,2.164409,1.858984,1.259769,1.403841,1.112481,1.76608,2.517617,3.736709,1.700674,1.323539,1.374094,ENSG00000001461
ENSG00000001497,11.036951,8.939723,6.510241,7.494208,6.189071,5.628911,8.012564,5.167187,10.151948,8.778944,6.453105,7.299809,5.531996,8.858864,7.901497,9.14832,ENSG00000001497
ENSG00000001561,2.243221,1.6937,2.697215,2.636313,1.797357,2.863808,2.005047,1.725097,1.875683,1.716023,2.210625,2.322246,2.770396,2.324111,2.13828,1.566711,ENSG00000001561
ENSG00000001617,3.67356,6.490515,8.551552,3.615563,7.37911,17.445123,3.442937,3.855827,2.619563,2.780755,5.447158,5.660954,6.241343,2.49976,3.860947,6.276133,ENSG00000001617
ENSG00000001626,0.005263,0.0,0.044505,0.014686,0.027397,0.012176,0.015439,0.0,0.0,0.0,0.006828,0.029043,0.024896,0.088493,0.0,0.0,ENSG00000001626
ENSG00000001629,6.8075,9.537955,9.159394,8.951021,9.400607,9.179584,8.93162,7.758415,7.541341,7.000853,7.516857,10.596102,12.081909,9.000595,7.710958,8.034053,ENSG00000001629
ENSG00000001630,37.608092,37.356446,26.622674,32.082002,33.386171,23.216162,31.925463,56.715607,35.517893,39.122047,26.534771,31.244946,31.091671,33.609322,42.449929,35.33019,ENSG00000001630
ENSG00000001631,5.845881,6.340751,4.198716,5.185093,4.876155,3.64811,5.440587,3.356937,5.957432,5.054004,5.305586,5.504338,4.645294,5.653835,5.248688,5.661456,ENSG00000001631
ENSG00000002016,1.336437,1.873976,0.90844,1.511102,1.162667,1.299113,1.182078,0.681558,0.839202,1.031806,0.82735,1.461206,1.134363,1.087831,1.14665,1.451842,ENSG00000002016
ENSG00000002079,0.003796,0.0,0.0,0.001483,0.0,0.012197,0.0,0.0,0.0,0.00763,0.0,0.018015,0.0,0.001441,0.0,0.0,ENSG00000002079
ENSG00000002330,20.377973,16.025971,24.642131,20.026298,20.704834,18.290463,17.762503,29.000196,20.231471,27.409356,30.020125,17.15945,20.630811,22.83814,21.619559,18.319405,ENSG00000002330
ENSG00000002549,7.365668,6.45107,3.973592,4.191359,6.629628,4.128826,4.586618,3.184527,7.745974,7.472025,9.48143,4.109178,4.701566,7.977826,6.997423,6.139559,ENSG00000002549
ENSG00000002586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000002586
ENSG00000002587,0.194591,0.31384,0.841067,0.254977,1.381636,1.002845,0.277937,0.684696,0.6321,0.342238,2.139271,0.531919,0.840089,0.815714,0.527126,0.358314,ENSG00000002587
ENSG00000002726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012793,0.0,0.0,0.008936,0.0,0.0,0.009673,ENSG00000002726
ENSG00000002745,0.121679,0.044856,0.161907,0.092458,0.380829,0.038911,0.368807,0.0,0.111015,0.405171,0.557557,0.19499,0.125063,0.093306,0.204793,0.079354,ENSG00000002745
ENSG00000002746,3.598097,9.218532,5.552267,2.390078,6.99828,8.342985,3.557292,9.082622,13.434894,3.371421,2.219798,3.890077,6.11783,9.125301,4.673627,7.45387,ENSG00000002746
ENSG00000002822,5.535,5.616777,6.133787,5.872899,5.605542,6.299766,7.427874,4.553962,4.406795,4.16992,4.332175,6.089992,5.691714,5.302514,5.147746,5.937104,ENSG00000002822
ENSG00000002834,61.602571,64.028878,95.647519,73.514245,89.152314,82.270956,81.063552,64.781294,55.995849,54.723728,65.136871,76.065586,82.774033,67.877874,67.409191,68.038087,ENSG00000002834
ENSG00000002919,11.271202,8.241802,8.61788,7.426295,7.528199,10.10071,7.656663,8.302977,9.119766,11.522913,10.041721,6.917256,8.378307,10.185815,8.582997,8.136168,ENSG00000002919
ENSG00000002933,0.168343,0.146931,0.101042,0.03833,0.515994,0.254748,0.0,0.268308,0.052049,0.295034,0.736857,0.0,0.147054,0.471013,0.240723,0.148532,ENSG00000002933
ENSG00000003056,10.582302,9.623217,7.798712,8.959974,10.394863,7.535109,8.850492,7.391433,11.363479,10.454398,9.797204,8.345371,8.711158,10.725202,8.990747,9.422487,ENSG00000003056
ENSG00000003096,4.74139,3.69534,17.656419,18.111296,6.631241,11.556735,7.289821,8.728852,7.280494,6.363758,10.419195,7.620384,9.485448,4.680155,5.01912,3.552001,ENSG00000003096
ENSG00000003137,0.675833,1.551817,4.150829,0.467833,0.811993,46.50792,0.865826,0.040692,2.855817,1.385215,2.685136,0.158673,10.900472,0.437371,0.819393,0.899678,ENSG00000003137
ENSG00000003147,0.823257,0.732728,1.401784,0.523515,1.835023,3.204147,0.498153,2.10536,0.582782,0.693743,0.942984,0.711754,1.719656,0.92378,0.826793,0.781438,ENSG00000003147
ENSG00000003249,10.815292,14.154054,18.0178,20.184343,18.445743,30.887903,15.36749,27.10647,9.070908,8.836258,8.410749,18.536142,18.605728,11.529954,12.839929,16.533093,ENSG00000003249
ENSG00000003393,4.914186,5.832391,6.144996,4.725034,5.793377,4.475674,5.173724,2.893064,4.207684,3.544007,3.867771,5.129899,6.198639,4.672799,4.419225,5.52258,ENSG00000003393
ENSG00000003400,0.35554,0.355559,0.404787,0.286476,0.614886,0.15556,0.274473,0.128752,0.255848,0.340633,0.64512,0.209493,0.296786,0.569415,0.331775,0.355321,ENSG00000003400
ENSG00000003402,0.941989,1.491695,0.866251,0.84612,1.273532,1.056004,0.924451,0.7588,0.946785,0.896489,1.12431,1.050581,0.762361,1.158184,1.130209,1.340599,ENSG00000003402
ENSG00000003436,0.942157,0.831305,1.183856,0.915574,1.639602,0.71669,0.916245,0.627152,0.952398,1.105686,1.870609,0.712123,1.189205,2.4005,1.172379,0.793046,ENSG00000003436
ENSG00000003509,4.148781,3.929879,3.188587,3.726181,2.529081,2.026291,4.104681,2.185584,3.312085,3.847871,3.542318,3.670254,2.823484,3.929346,3.399896,3.459669,ENSG00000003509
ENSG00000003756,5.862403,10.555735,6.591115,6.717368,7.4589,10.921209,5.763068,4.511068,4.647657,4.981345,4.971024,10.040392,7.285864,5.439239,6.02751,7.981382,ENSG00000003756
ENSG00000003987,1.530783,2.139427,3.978849,2.639312,3.816262,4.101511,2.858159,3.550881,1.644585,1.657194,2.011927,3.192017,4.691729,1.118827,2.854728,1.964112,ENSG00000003987
ENSG00000003989,1.453533,1.108726,0.92202,0.910815,5.50241,0.25666,0.644006,0.067017,0.348683,0.470692,5.215184,0.623813,1.011395,0.086443,1.022361,1.258874,ENSG00000003989
ENSG00000004059,79.963044,52.853696,82.04232,63.387267,60.651979,79.172998,54.939171,77.550076,70.640555,88.164815,97.154269,59.351217,69.232518,80.860895,71.429014,63.27742,ENSG00000004059
ENSG00000004139,8.932966,11.794515,12.077686,12.89436,10.417041,12.871272,11.62234,9.339907,7.480155,6.7842,5.160729,12.854403,12.140575,9.960837,7.406274,10.542688,ENSG00000004139
ENSG00000004142,45.289331,36.771185,38.95231,38.50004,39.727692,33.645258,35.517482,31.913339,42.183944,48.66049,40.057709,36.19249,37.733758,38.830557,41.163616,37.224008,ENSG00000004142
