Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2003","2003","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2004","2004","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2005","2005","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2006","2006","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2007","2007","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2008","2008","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2009","2009","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2010","2010","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2011","2011","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2012","2012","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2013","2013","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2000","2000","t","0.39","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2001","2001","t","10","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2002","2002","t","30","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2003","2003","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2004","2004","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2005","2005","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2006","2006","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2007","2007","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2008","2008","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2009","2009","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2010","2010","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2011","2011","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2012","2012","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2013","2013","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2014","2014","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2016","2016","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01371","Almonds, in shell","2017","2017","t","0.4","A","Official figure",""
