Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1961","1961","°c","-0.116","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1962","1962","°c","-0.082","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1963","1963","°c","0.062","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1964","1964","°c","-0.012","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1965","1965","°c","-0.475","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1966","1966","°c","0.354","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1967","1967","°c","-0.014","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1968","1968","°c","-0.182","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1969","1969","°c","0.036","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1970","1970","°c","0.199","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1971","1971","°c","0.04","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1972","1972","°c","-0.251","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1973","1973","°c","0.862","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1974","1974","°c","-0.153","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1975","1975","°c","-0.31","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1976","1976","°c","-0.076","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1977","1977","°c","0.015","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1978","1978","°c","0.105","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1979","1979","°c","-0.243","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1980","1980","°c","0.032","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1981","1981","°c","0.177","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1982","1982","°c","-0.173","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1983","1983","°c","0.709","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1984","1984","°c","0.322","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1985","1985","°c","-0.165","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1986","1986","°c","0.271","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1987","1987","°c","0.562","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1988","1988","°c","0.964","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1989","1989","°c","-0.003","E","Estimated value"
"ET","Temperature change on land","076","Brazil","7271","Temperature change","7001","January","1990","1990","°c","0.541","E","Estimated value"
