Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","4.7895","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","5.0591","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","5.3884","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","5.5976","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","6.4786","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","5.9012","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","6.5633","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","6.7","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","6.9377","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","7.7668","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","7.9484","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","8.0657","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","8.8826","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","10.2648","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","10.9392","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","12.6558","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","12.8006","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","11.3026","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","11.959","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","14.0395","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","13.6955","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","13.8309","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","12.4938","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","13.9159","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","15.0354","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","14.7288","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","16.5152","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","16.9039","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1989","1989","3050","FAO TIER 1","kt","18.0038","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1990","1990","3050","FAO TIER 1","kt","14.5443","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1991","1991","3050","FAO TIER 1","kt","14.2163","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","16.1408","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","16.2992","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","17.7554","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1995","1995","3050","FAO TIER 1","kt","18.2715","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1996","1996","3050","FAO TIER 1","kt","15.979","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1997","1997","3050","FAO TIER 1","kt","17.114","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1998","1998","3050","FAO TIER 1","kt","17.3657","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","18.8256","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","19.0617","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","21.3494","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","21.808","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","26.7952","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","26.7405","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","25.9254","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","25.9813","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","28.1539","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","30.4117","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","28.7593","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","31.4272","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","33.0563","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","33.1571","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","38.2908","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","39.9542","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","42.6004","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","39.3932","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","47.5873","E","Estimated value",""
"GT","Emissions totals","076","Brazil","7230","Emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","46.1602","E","Estimated value",""
