,Area,Year,Cropland (ha/cap),Crop Prod Total (tonnes),Fertilizer N20 Emissions (kt),Efficiency (kt/cropland),Em_label,Eff_label,CL_label
0,Argentina,1961,0.9416,48489517.56,0.1747,51496.93878504673,Low,Mid,High
1,Argentina,1962,0.9544,48607482.31,0.1792,50929.885069153395,Low,Mid,High
2,Argentina,1963,0.9589,55339474.65,0.3471,57711.41375534466,Mid,Mid,High
3,Argentina,1964,0.9624,57610742.18,0.4164,59861.53593100582,Mid,Mid,High
4,Argentina,1965,0.9685,54322641.879999995,0.5205,56089.45986577181,Mid,Mid,High
5,Argentina,1966,1.0048,56070513.58,0.5311,55802.66080812102,Mid,Mid,High
6,Argentina,1967,1.0216,56683734.74,0.7711,55485.253269381355,Mid,Mid,High
7,Argentina,1968,1.0715,52685358.01,0.6384,49169.72282781148,Mid,Mid,High
8,Argentina,1969,1.0607,56883880.120000005,0.7297,53628.62272084473,Mid,Mid,High
9,Argentina,1970,1.0497,57961651.26,0.8537,55217.349014003994,Mid,Mid,High
10,Argentina,1971,1.0387,60580128.269999996,0.937,58323.02712043901,Mid,Mid,High
11,Argentina,1972,1.0276,59482245.08,1.0203,57884.62931101595,Mid,Mid,High
12,Argentina,1973,1.0161,69494128.34,0.9129,68393.00102352131,Mid,Mid,High
13,Argentina,1974,1.0041,72201059.27,0.8745,71906.2436709491,Mid,Mid,High
14,Argentina,1975,0.9927,69701955.69,0.583,70214.52169839831,Mid,Mid,High
15,Argentina,1976,0.982,74181906.62,0.8162,75541.65643584523,Mid,Mid,High
16,Argentina,1977,0.9714,72124789.57,0.8683,74248.29068354951,Mid,Mid,High
17,Argentina,1978,0.9607,76156958.14,0.9936,79272.3619652337,Mid,Mid,High
18,Argentina,1979,0.9503,76719339.07,1.2267,80731.70479848467,Mid,Mid,High
19,Argentina,1980,0.94,72178222.84,1.3045,76785.34344680852,Mid,Mid,High
20,Argentina,1981,0.9299,80521419.87,1.0655,86591.48281535649,Mid,Mid,High
21,Argentina,1982,0.9199,86880123.44,1.1098,94445.18256332209,Mid,Mid,High
22,Argentina,1983,0.9102,85025431.51,1.2951,93414.00956932543,Mid,Mid,High
23,Argentina,1984,0.9007,87674731.47,2.1613,97340.6588986344,Mid,Mid,High
24,Argentina,1985,0.8915,83777843.46000001,2.1779,93974.02519349412,Mid,Mid,High
25,Argentina,1986,0.8824,83801971.6,1.9364,94970.50271985494,Mid,Mid,High
26,Argentina,1987,0.8734,80980715.11,1.9676,92718.93188687887,Mid,Mid,High
27,Argentina,1988,0.8644,84394119.74,2.0634,97633.17878297085,Mid,Mid,High
28,Argentina,1989,0.8546,74900013.14,2.0697,87643.3572899602,Mid,Mid,High
29,Argentina,1990,0.8455,82969720.55,2.1113,98130.95274985215,Mid,Mid,High
30,Argentina,1991,0.8367,90815919.46000001,1.9926,108540.59933070396,Mid,Mid,High
31,Argentina,1992,0.8283,92193211.5,3.0524,111304.13074972836,Mid,Mid,High
32,Argentina,1993,0.8202,88025431.59,3.4918,107321.91122896854,Mid,Mid,High
33,Argentina,1994,0.8124,92850034.5,5.8675,114291.03212703101,High,Mid,High
34,Argentina,1995,0.8048,103423007.64,6.6379,128507.71327037773,High,Mid,High
35,Argentina,1996,0.7978,100389929.89,10.6252,125833.4543619955,High,Mid,High
36,Argentina,1997,0.7911,115431139.4,9.9193,145912.19744659335,High,Mid,High
37,Argentina,1998,0.7849,128653367.48,8.8012,163910.5204229838,High,Mid,High
38,Argentina,1999,0.7784,121224007.34,9.5216,155734.85012846865,High,Mid,High
39,Argentina,2000,0.7726,125742678.56,10.3737,162752.62562775047,High,Mid,High
40,Argentina,2001,0.767,128949242.49,10.3378,168121.56778357233,High,Mid,High
41,Argentina,2002,0.7618,129164427.17,11.131,169551.6240089262,High,Mid,High
42,Argentina,2003,0.8054,134708668.82999998,15.4216,167256.85228457907,High,Mid,High
43,Argentina,2004,0.8481,134000021.75999999,16.5827,158000.26147859922,High,Mid,High
44,Argentina,2005,0.8905,155972000.53,13.3342,175151.03933745087,High,Mid,High
45,Argentina,2006,0.9267,152775356.95,16.4006,164859.56291140604,High,Mid,High
46,Argentina,2007,0.9526,166917341.43,20.4331,175222.90723283644,High,Mid,High
47,Argentina,2008,0.9097,173148371.39,15.8651,190335.68362097396,High,Mid,High
48,Argentina,2009,0.8723,135748522.94,9.9331,155621.3721655394,High,Mid,High
49,Argentina,2010,0.949,163981252.18,16.0584,172793.7325395153,High,Mid,High
