Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1990","1990","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1990","1990","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1991","1991","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1991","1991","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1992","1992","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1992","1992","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1993","1993","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1993","1993","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1994","1994","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1994","1994","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1995","1995","3050","FAO TIER 1","kt","14.7153","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1995","1995","3050","FAO TIER 1","kt","0.7852","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1996","1996","3050","FAO TIER 1","kt","34.8323","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1996","1996","3050","FAO TIER 1","kt","1.0245","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1997","1997","3050","FAO TIER 1","kt","53.4414","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1997","1997","3050","FAO TIER 1","kt","1.5718","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1998","1998","3050","FAO TIER 1","kt","49.3563","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1998","1998","3050","FAO TIER 1","kt","1.4517","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","1999","1999","3050","FAO TIER 1","kt","77.1922","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","1999","1999","3050","FAO TIER 1","kt","2.2704","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2000","2000","3050","FAO TIER 1","kt","28.753","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2000","2000","3050","FAO TIER 1","kt","0.8457","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2001","2001","3050","FAO TIER 1","kt","4.9532","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2001","2001","3050","FAO TIER 1","kt","0.4523","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2001","2001","3050","FAO TIER 1","kt","3473.729","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2002","2002","3050","FAO TIER 1","kt","5.8132","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2002","2002","3050","FAO TIER 1","kt","0.5308","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2002","2002","3050","FAO TIER 1","kt","4076.825","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2003","2003","3050","FAO TIER 1","kt","8.6108","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2003","2003","3050","FAO TIER 1","kt","0.7862","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2003","2003","3050","FAO TIER 1","kt","6038.7957","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2004","2004","3050","FAO TIER 1","kt","8.3821","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2004","2004","3050","FAO TIER 1","kt","0.7653","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2004","2004","3050","FAO TIER 1","kt","5878.4001","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2005","2005","3050","FAO TIER 1","kt","6.7889","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2005","2005","3050","FAO TIER 1","kt","0.6199","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2005","2005","3050","FAO TIER 1","kt","4761.0587","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2006","2006","3050","FAO TIER 1","kt","4.1505","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2006","2006","3050","FAO TIER 1","kt","0.379","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2006","2006","3050","FAO TIER 1","kt","2910.7648","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2007","2007","3050","FAO TIER 1","kt","9.7065","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2007","2007","3050","FAO TIER 1","kt","0.8862","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2007","2007","3050","FAO TIER 1","kt","6807.1916","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2008","2008","3050","FAO TIER 1","kt","5.2035","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2008","2008","3050","FAO TIER 1","kt","0.4751","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2008","2008","3050","FAO TIER 1","kt","3649.2648","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2009","2009","3050","FAO TIER 1","kt","7.2118","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2009","2009","3050","FAO TIER 1","kt","0.6585","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2009","2009","3050","FAO TIER 1","kt","5057.6459","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2010","2010","3050","FAO TIER 1","kt","5.1754","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2010","2010","3050","FAO TIER 1","kt","0.4725","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2010","2010","3050","FAO TIER 1","kt","3629.5313","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2011","2011","3050","FAO TIER 1","kt","3.1374","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2011","2011","3050","FAO TIER 1","kt","0.2865","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2011","2011","3050","FAO TIER 1","kt","2200.3035","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2012","2012","3050","FAO TIER 1","kt","3.7449","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2012","2012","3050","FAO TIER 1","kt","0.3419","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2012","2012","3050","FAO TIER 1","kt","2626.3454","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2013","2013","3050","FAO TIER 1","kt","17.3016","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2013","2013","3050","FAO TIER 1","kt","1.5797","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2013","2013","3050","FAO TIER 1","kt","12133.6851","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2014","2014","3050","FAO TIER 1","kt","1.1888","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2014","2014","3050","FAO TIER 1","kt","0.1085","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2014","2014","3050","FAO TIER 1","kt","833.7296","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2015","2015","3050","FAO TIER 1","kt","1.1993","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2015","2015","3050","FAO TIER 1","kt","0.1095","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2015","2015","3050","FAO TIER 1","kt","841.0987","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2016","2016","3050","FAO TIER 1","kt","1.9909","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2016","2016","3050","FAO TIER 1","kt","0.1818","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2016","2016","3050","FAO TIER 1","kt","1396.2197","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2017","2017","3050","FAO TIER 1","kt","14.9611","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2017","2017","3050","FAO TIER 1","kt","1.366","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2017","2017","3050","FAO TIER 1","kt","10492.2782","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2018","2018","3050","FAO TIER 1","kt","2.0392","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2018","2018","3050","FAO TIER 1","kt","0.1862","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2018","2018","3050","FAO TIER 1","kt","1430.0818","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2019","2019","3050","FAO TIER 1","kt","1.7273","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2019","2019","3050","FAO TIER 1","kt","0.1577","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2019","2019","3050","FAO TIER 1","kt","1211.3929","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2020","2020","3050","FAO TIER 1","kt","12.3666","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2020","2020","3050","FAO TIER 1","kt","1.1291","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2020","2020","3050","FAO TIER 1","kt","8672.7636","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2021","2021","3050","FAO TIER 1","kt","2.4871","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2021","2021","3050","FAO TIER 1","kt","0.2271","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2021","2021","3050","FAO TIER 1","kt","1744.1917","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6796","Humid tropical forest","2022","2022","3050","FAO TIER 1","kt","25.5976","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6796","Humid tropical forest","2022","2022","3050","FAO TIER 1","kt","2.3372","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7273","Emissions (CO2)","6796","Humid tropical forest","2022","2022","3050","FAO TIER 1","kt","17951.7284","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6797","Other forest","1990","1990","3050","FAO TIER 1","kt","13.9528","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6797","Other forest","1990","1990","3050","FAO TIER 1","kt","0.7585","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6797","Other forest","1991","1991","3050","FAO TIER 1","kt","13.9528","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6797","Other forest","1991","1991","3050","FAO TIER 1","kt","0.7585","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6797","Other forest","1992","1992","3050","FAO TIER 1","kt","13.9528","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6797","Other forest","1992","1992","3050","FAO TIER 1","kt","0.7585","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6797","Other forest","1993","1993","3050","FAO TIER 1","kt","13.9528","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7230","Emissions (N2O)","6797","Other forest","1993","1993","3050","FAO TIER 1","kt","0.7585","E","Estimated value",""
"GI","Emissions from Fires","032","Argentina","7225","Emissions (CH4)","6797","Other forest","1994","1994","3050","FAO TIER 1","kt","13.9528","E","Estimated value",""
