Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1961","1961","1000 ha","137829","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1962","1962","1000 ha","136434","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1963","1963","1000 ha","134875","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1964","1964","1000 ha","133297","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1965","1965","1000 ha","131780","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1966","1966","1000 ha","130948","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1967","1967","1000 ha","129703","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1968","1968","1000 ha","129235","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1969","1969","1000 ha","127382","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1970","1970","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1971","1971","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1972","1972","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1973","1973","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1974","1974","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1975","1975","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1976","1976","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1977","1977","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1978","1978","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1979","1979","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1980","1980","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1981","1981","1000 ha","127383","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1982","1982","1000 ha","127384","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1983","1983","1000 ha","127385","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1984","1984","1000 ha","127384","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1985","1985","1000 ha","127384","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1986","1986","1000 ha","127384","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1987","1987","1000 ha","127384","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1988","1988","1000 ha","127380","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1989","1989","1000 ha","127470","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1990","1990","1000 ha","127565","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1991","1991","1000 ha","127660","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1992","1992","1000 ha","127755","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1993","1993","1000 ha","127850","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1994","1994","1000 ha","127948","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1995","1995","1000 ha","128045","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1996","1996","1000 ha","128142","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1997","1997","1000 ha","128235","I","Imputed value",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","1998","1998","1000 ha","128330","I","Imputed value",""
