occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.040801,2.930702,2.394217,3.880496,2.534037,1.071654,3.17783,1.049822,2.850896,3.022603,5.912538,3.050956,2.126474,2.959168,2.486623,2.918445
0.946595,1.696446,0.884657,1.214723,0.941934,0.900858,0.856704,1.116119,1.255822,1.215299,1.056482,1.050129,0.779624,1.14186,1.303944,1.248026
1.125924,1.122627,1.040963,1.121075,1.42274,0.98155,2.674094,1.465563,1.636322,1.612338,2.744826,1.46158,2.028703,1.627204,1.817811,0.924312
7.213488,12.864552,13.562014,10.815617,15.40102,24.850369,12.109015,14.994766,7.969088,7.101615,7.651845,13.79206,12.924124,8.876215,9.777676,12.075052
0.0,0.032514,0.0,0.0,0.000149,0.012368,0.0,0.023866,0.0,0.0,0.0,0.0,0.010006,0.0,0.0,0.0
39.394956,28.914722,44.41523,37.199215,35.609116,41.841761,36.156933,41.890436,35.268786,41.300672,35.427421,32.101017,42.063918,37.807289,34.891466,33.077584
35.549612,42.408226,55.463679,43.345412,66.734602,42.477817,34.309304,26.403533,38.23768,48.925244,65.252193,40.54297,69.097866,32.863243,55.610735,43.690495
7.532609,5.610905,7.698425,9.317331,7.192561,6.221398,7.579369,6.865293,6.992836,10.349926,9.8607,8.644798,8.513267,5.624456,9.151223,6.277275
6.711792,4.162172,6.552963,6.048781,4.676517,6.583103,5.70034,6.471221,6.911015,9.891138,8.295519,5.155458,6.936772,5.506289,7.349361,5.248603
3.65126,9.118336,8.132657,6.598902,9.137019,15.680312,6.83898,9.388546,3.09269,2.482996,1.670506,11.573016,9.02377,3.303596,4.856616,7.975723
9.280853,9.987315,7.160486,11.273861,7.475744,5.948388,10.611296,6.782008,10.767513,9.152023,9.019664,9.742202,8.408242,11.972015,9.093095,8.203938
13.233484,11.667064,6.557399,12.420465,6.445385,2.066563,13.213303,5.061783,12.998308,12.250628,7.901895,10.969706,5.644026,8.507634,10.036481,11.178274
4.578254,4.796053,2.779778,3.91626,2.528372,3.807892,4.455517,2.795934,4.344838,3.920947,2.490836,4.250187,2.476102,3.390277,3.055128,4.375178
6.21024,6.445395,5.913354,5.936896,6.543459,5.426611,6.644695,5.111109,6.15944,5.537802,6.250454,6.204287,6.708708,6.102073,6.795074,5.910253
